lat,lon,county
40.812786,-74.21616,Essex County
40.735657,-73.99476,New York County
40.67425,-73.98229,Kings County
40.73337,-73.99879,New York County
42.803345,-78.75376,Erie County
40.967697,-74.07359,Bergen County
40.87459,-74.1651,Passaic County
40.731197,-74.00157,New York County
40.75042,-73.98772,New York County
40.75293,-73.974724,New York County
40.731472,-74.00227,New York County
40.71949,-73.99638,New York County
40.696693,-74.27156,Union County
40.722683,-73.99202,New York County
40.87551,-73.824265,Bronx County
40.707226,-73.92125,Kings County
40.73801,-73.98877,New York County
40.727962,-74.000046,New York County
40.89392,-73.81838,Westchester County
40.841805,-74.159386,Passaic County
40.732998,-73.9855,New York County
40.82503,-73.87116,Bronx County
40.70245,-73.99325,Kings County
40.75671,-74.001,New York County
40.038334,-75.341675,Delaware County
40.721474,-73.99505,New York County
40.716476,-73.99797,New York County
40.80702,-73.95358,New York County
40.825233,-73.94289,New York County
40.714043,-73.955956,Kings County
40.750298,-73.97507,New York County
40.71791,-73.9928,New York County
40.756382,-73.986244,New York County
40.716446,-73.95289,Kings County
40.759903,-73.98035,New York County
40.814026,-73.94063,New York County
40.77099,-73.9221,Queens County
40.75876,-73.99302,New York County
40.882954,-74.03819,Bergen County
40.731483,-74.00315,New York County
40.744297,-74.00641,New York County
40.740395,-74.25269,Essex County
40.75495,-73.9686,New York County
40.759315,-73.98513,New York County
40.804317,-74.23761,Essex County
40.819565,-73.959724,New York County
40.751045,-73.98755,New York County
42.974163,-78.86657,Erie County
40.73385,-74.00505,New York County
40.72765,-73.99361,New York County
40.726524,-73.98613,New York County
40.740562,-73.99818,New York County
40.61917,-73.989914,Kings County
40.75922,-73.9896,New York County
40.75134,-73.98724,New York County
40.210106,-75.222946,Montgomery County
40.74509,-73.988396,New York County
40.78202,-73.979065,New York County
40.68014,-73.878006,Kings County
40.714466,-73.9984,New York County
40.687157,-73.9853,Kings County
40.761944,-73.9836,New York County
40.814426,-73.83624,Bronx County
40.725826,-73.98644,New York County
40.8,-73.96811,New York County
40.713722,-73.961945,Kings County
44.845974,-74.32929,Franklin County
40.96373,-73.85643,Westchester County
40.74453,-73.99876,New York County
40.708004,-73.928764,Kings County
40.760715,-73.99028,New York County
40.28151,-75.29227,Montgomery County
40.78206,-73.97927,New York County
40.7304,-73.99274,New York County
40.84622,-73.93858,New York County
40.735363,-73.675186,Nassau County
40.71365,-73.998474,New York County
40.7187,-74.0088,New York County
40.892735,-74.11475,Bergen County
40.81419,-74.21846,Essex County
40.72886,-74.00796,New York County
40.865906,-73.89483,Bronx County
40.683144,-73.976135,Kings County
40.70715,-73.9903,New York County
40.733738,-73.98986,New York County
40.733467,-74.173294,Essex County
40.9278,-73.85321,Westchester County
40.740974,-73.78434,Queens County
40.81385,-74.218056,Essex County
40.878906,-74.143364,Passaic County
