lat,lon
40.743664,-74.00635
43.123,-75.59406
40.685375,-73.922325
40.91843,-73.99686
43.12374,-77.614006
40.830437,-74.21325
40.741844,-74.05229
40.713104,-73.94412
43.192936,-77.51116
40.762894,-73.98439
40.889477,-73.900734
40.752007,-73.993904
40.70752,-74.007256
40.844837,-73.99989
40.784676,-73.95586
40.814373,-73.94691
42.93133,-78.66622
40.520206,-74.552536
40.77192,-73.97695
42.389793,-75.089294
40.70248,-73.80217
40.720722,-73.98478
40.893,-73.85616
42.518272,-76.503746
40.769756,-73.992676
40.77638,-73.868576
40.72151,-73.97423
40.63901,-73.78042
40.72332,-74.08176
40.75968,-73.979645
40.76028,-73.976135
42.272705,-73.95651
40.7193,-74.0313
40.75347,-73.693344
40.783077,-73.974594
40.83921,-73.94124
40.752087,-73.91483
40.620537,-73.96448
40.77575,-74.02647
40.86641,-74.04855
40.76104,-73.978584
40.900215,-74.00013
40.67155,-74.20345
42.711605,-71.17404
40.762127,-73.82709
40.6601,-73.93896
40.74359,-73.92069
43.49312,-75.3291
42.78217,-73.451256
40.144634,-74.536026
40.73648,-73.98915
40.632305,-74.02779
40.64956,-73.9619
40.388496,-74.09849
40.599476,-73.95042
40.791,-73.9449
43.14376,-77.60489
40.67453,-73.93511
40.745632,-73.98531
41.315285,-74.12518
40.81183,-73.95004
40.29722,-74.18103
40.649826,-74.12904
40.675964,-73.97162
40.812756,-73.95438
40.6825,-73.99313
39.718678,-74.903336
40.812572,-74.12424
41.970917,-73.98604
40.756023,-73.98272
42.050014,-74.06915
40.723846,-73.99921
42.271835,-73.723915
40.739677,-74.00214
43.029755,-76.05033
40.76127,-73.968475
40.73057,-73.98671
40.546124,-74.30116
40.7483,-73.991776
40.86212,-73.884476
40.778435,-73.98124
40.86563,-74.42257
40.577274,-73.97608
41.262363,-72.01536
43.42067,-73.70962
40.84419,-73.85743
40.741264,-73.99488
40.722073,-73.9966
40.691353,-73.783226
40.7945,-73.68534
40.82574,-73.974884
40.66646,-73.98185
40.6808,-73.9946
40.769615,-73.98199
40.73603,-74.02994
40.178513,-74.8842
40.70511,-74.01026
40.00915,-74.05682
40.73698,-73.98905
40.72126,-73.722206
40.73185,-74.00186
40.836285,-74.15096
40.667816,-73.93127
40.703053,-73.986115
41.098503,-74.145226
40.762676,-73.99081
40.756294,-74.001656
43.196877,-77.50052
40.70862,-74.00776
40.815582,-74.12184
40.88708,-74.26112
40.833366,-73.86202
42.741364,-78.82942
40.735455,-73.85022
40.747025,-74.06161
40.862206,-73.91844
40.58415,-73.666405
40.551186,-74.15004
40.88373,-74.70667
40.855892,-73.96758
39.939167,-74.96798
40.677666,-73.84577
40.618572,-73.98919
40.70182,-73.997314
40.736332,-73.95525
40.75698,-73.975685
40.70451,-74.00966
40.953392,-73.8458
40.8,-73.96811
40.58889,-73.95964
40.756947,-74.00215
40.82391,-73.944466
40.726074,-74.00937
40.708466,-74.00478
41.039894,-74.638985
40.76063,-73.98581
40.72868,-74.005
40.596176,-73.98035
40.69209,-74.10405
40.75977,-73.832565
40.76075,-73.98392
40.763695,-74.00147
40.718838,-74.00652
40.69391,-73.98847
40.70027,-74.01498
43.030773,-77.906494
40.771263,-73.98937
41.4931,-74.07592
40.738106,-73.815674
43.023125,-76.91296
40.60551,-73.754555
40.66643,-73.961266
40.814682,-73.95643
40.765686,-73.92645
39.5002,-74.87348
40.741753,-74.00708
40.726402,-73.99194
40.666637,-73.98185
40.613342,-74.00336
40.67971,-73.863655
40.81363,-73.98393
40.752926,-73.8616
40.561005,-74.135735
40.74055,-73.98618
40.690243,-73.99079
42.534702,-73.606735
40.717335,-74.084724
40.774734,-74.032394
40.76783,-73.98233
40.729496,-74.166725
40.904102,-74.14552
43.13105,-78.677216
40.745583,-73.99455
40.841286,-74.20854
43.154495,-77.58958
40.806587,-73.99232
40.628242,-74.096054
40.747192,-73.97703
40.61299,-73.97363
40.67687,-73.72604
40.88297,-74.056175
40.768723,-73.97925
40.776806,-73.96511
40.784737,-73.958115
40.644234,-73.90068
40.850105,-73.96886
42.512413,-76.1477
40.862343,-73.901146
41.146717,-73.73711
41.741444,-74.0017
42.09601,-77.214165
40.410503,-74.50472
40.767963,-73.88797
40.573143,-74.117355
40.675793,-73.74148
44.66165,-75.5427
41.74205,-74.0698
40.71283,-74.166046
40.96264,-74.597374
42.685234,-73.83901
40.706257,-73.92258
40.63704,-73.93607
39.60856,-75.30773
40.75348,-73.98886
40.763412,-73.92121
40.76148,-73.98149
40.75535,-73.97365
40.815712,-73.919044
40.87117,-73.82645
40.73792,-73.867645
40.756645,-73.97616
40.86205,-74.49799
40.054173,-74.22903
40.748207,-73.99069
42.756542,-73.758354
40.714447,-73.93517
41.94251,-74.77149
40.76536,-74.23015
40.7306,-73.99134
40.714302,-74.00656
40.667603,-73.98779
40.581146,-74.11185
40.726917,-73.99297
40.75685,-73.98672
40.733112,-73.98161
40.752426,-73.96691
40.741016,-74.02978
40.658756,-73.80192
40.758812,-73.99886
40.791252,-74.23313
40.705585,-73.92237
40.74155,-73.98729
40.585346,-74.61875
40.794716,-74.19862
43.087765,-77.63866
40.92149,-74.73888
40.64103,-73.78967
40.757145,-73.695045
40.575848,-74.21752
40.74116,-73.98509
40.71585,-73.991295
40.76413,-73.88082
40.701553,-73.68088
40.889565,-74.25888
40.76258,-73.982
40.736908,-74.03093
40.75389,-73.98479
40.742435,-73.99375
42.649635,-73.75987
40.708874,-74.03979
43.26155,-78.925865
40.671406,-73.96242
40.771976,-73.9873
40.689716,-73.98236
40.725513,-74.00422
40.756683,-73.99009
40.75464,-73.98563
40.069836,-74.50538
40.759953,-73.96846
40.705116,-74.0061
40.74368,-73.98676
40.723457,-73.99874
41.974094,-73.670235
40.643356,-73.780266
40.690605,-73.98497
40.75394,-73.98271
40.73126,-74.00309
40.050137,-74.09463
40.76474,-73.97302
39.884003,-74.924416
40.96367,-73.85619
42.980545,-78.847534
40.75825,-73.97977
40.71242,-73.94655
40.74097,-73.99611
40.75435,-73.98889
42.28903,-73.58392
40.726772,-74.03818
40.78424,-73.845795
40.711624,-73.89161
40.69097,-73.95957
40.73074,-74.06138
40.763805,-73.98499
40.7279,-74.00518
40.72964,-73.98851
40.6051,-73.9802
40.88828,-74.26991
40.751762,-73.97663
40.742287,-73.993126
40.882454,-74.70658
40.730206,-73.95571
42.331005,-73.56961
40.80584,-73.96546
40.72999,-73.9929
40.763973,-73.98133
40.724514,-73.70576
40.634045,-74.123146
43.153625,-77.74299
42.458633,-76.38456
40.90624,-74.03065
40.7474,-73.98448
40.726192,-73.99184
40.72088,-74.04459
40.726814,-73.991905
40.742184,-73.98838
40.82062,-73.95472
40.75548,-74.27215
43.25145,-73.66969
40.778187,-73.978714
40.744804,-73.97975
40.60011,-73.94387
40.756992,-73.98908
40.86754,-73.92441
40.625042,-73.96415
40.930473,-75.05401
40.74618,-73.99062
40.827564,-74.101234
40.755577,-73.971146
40.677296,-73.98615
40.783447,-73.97423
40.81314,-74.19398
40.35927,-74.934265
39.9662,-74.79807
40.852528,-73.82744
40.753872,-73.92379
40.733925,-73.85005
40.887203,-73.90456
40.66267,-74.1784
40.737373,-73.98425
40.824814,-73.935776
40.68963,-73.98854
40.70288,-73.8547
40.74759,-73.98624
40.79767,-73.96962
40.692387,-74.2967
40.7136,-73.96192
41.03671,-71.94403
40.7481,-73.98704
40.301647,-74.68028
39.84551,-74.70845
40.686443,-73.95064
40.755123,-73.97879
40.76288,-73.98561
40.28608,-74.17386
40.73188,-74.11264
40.75172,-74.02176
39.3338,-84.565414
40.75343,-74.02762
44.33607,-75.91973
40.66163,-73.96215
40.96297,-73.85667
40.785297,-73.9667
40.76022,-73.830986
42.959957,-78.91331
40.76202,-73.97929
40.71287,-73.99589
40.620773,-74.16864
40.95136,-73.84469
40.72437,-73.70636
40.904793,-74.07148
40.65041,-74.00471
42.772575,-73.751945
40.743717,-73.99428
41.699448,-72.89792
40.89203,-74.00819
40.732613,-73.98549
40.7584,-73.97038
40.75388,-73.80291
